--- Top 10 Services Report (by Bytes) ---
Service,Total Packets,Total Bytes
https,1294727766,43106481304
ntp,133118180,9936649070
Unrecognized,334144889,8806019710
www-http,217871949,2910613152
ipsec-nat-t,36190704,1180756181
unidata-ldm,240444228,1048727474
smtp,8316988,795195689
nvme-disc,15094560,728013976
pcoip,6800916,701611654
rtcm-sc104,7604804,653001507
other,185227180,5688492709
